"","x"
"40","No Taxation without Information: Deterrence and Self-Enforcement in the Value Added Tax"
"41","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru"
"42","Pivotality and responsibility attribution in sequential voting"
"43","Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial"
"44","Productivity in piece-rate labor markets: Evidence from rural Malawi"
"45","Professional norms and physician behavior: Homo oeconomicus or homo hippocraticus?"
"46","Psychological Frictions and the Incomplete Take-Up of Social Benefits: Evidence from an IRS Field Experiment"
"47","REDUCING CHOICE OVERLOAD WITHOUT REDUCING CHOICES"
"48","Relative Pay and Labor Supply"
"49","SAVINGS IN TRANSNATIONAL HOUSEHOLDS: A FIELD EXPERIMENT AMONG MIGRANTS FROM EL SALVADOR"
"50","Saving by Default: Evidence from a Field Experiment in Rural India"
"51","Self-Control at Work"
"52","Social Networks and the Decision to Insure"
"53","Subsidies versus mental accounting nudges: Harnessing mobile payment systems to improve sanitation"
"54","TEMPORAL STABILITY OF TIME PREFERENCES"
"55","THE AGGREGATE EFFECT OF SCHOOL CHOICE: EVIDENCE FROM A TWO-STAGE EXPERIMENT IN INDIA*"
"56","THE HALF-LIFE OF HAPPINESS: HEDONIC ADAPTATION IN THE SUBJECTIVE WELL-BEING OF POOR SLUM DWELLERS TO THE SATISFACTION OF BASIC HOUSING NEEDS"
"57","THE IMPACT OF HOUSING ASSISTANCE ON CHILD OUTCOMES: EVIDENCE FROM A RANDOMIZED HOUSING LOTTERY"
"58","THE IMPACT OF STUDY GROUPS AND ROOMMATES ON ACADEMIC PERFORMANCE"
"59","THE MORALE EFFECTS OF PAY INEQUALITY"
"60","THE VALUE OF REGULATORY DISCRETION: ESTIMATES FROM ENVIRONMENTAL INSPECTIONS IN INDIA"
"61","Tangible Information and Citizen Empowerment: Identification Cards and Food Subsidy Programs in Indonesia"
"62","The Effects of Micro-entrepreneurship Programs on Labor Market Performance: Experimental Evidence from Chile"
"63","The Impacts of Microcredit: Evidence from Bosnia and Herzegovina"
"64","The Impacts of Microcredit: Evidence from Ethiopia"
"65","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia"
"66","The Persistent Power of Behavioral Change: Long-Run Impacts of Temporary Savings Subsidies for the Poor"
"67","The demand for teacher characteristics in the market for child care: Evidence from a field experiment"
"68","The heterogeneous effect of information on student performance: Evidence from a randomized control trial in Mexico"
"69","Ties that bind: Network redistributive pressure and economic decisions in village economies"
"70","Time versus State in Insurance: Experimental Evidence from Contract Farming in Kenya"
"71","Trading frictions in Indian village economies"
"72","Turning a Shove into a Nudge? A “Labeled Cash Transfer” for Education"
"73","WHAT IMPEDES EFFICIENT ADOPTION OF PRODUCTS? EVIDENCE FROM RANDOMIZED SALES OFFERS FOR FUEL-EFFICIENT COOKSTOVES IN UGANDA"
"74","WOULD YOU PAY FOR TRANSPARENTLY USELESS ADVICE? A TEST OF BOUNDARIES OF BELIEFS IN THE FOLLY OF PREDICTIONS"
"75","What Motivates Effort? Evidence and Expert Forecasts"
"76","Why Do Defaults Affect Behavior? Experimental Evidence from Afghanistan"
"77","Will a Five-Minute Discussion Change Your Mind? A Countrywide Experiment on Voter Choice in France"
"78","“Flypaper effects” in transfers targeted to women: Evidence from BRAC's “Targeting the Ultra Poor” program in Bangladesh"
